Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
5_Marini_UNIPD02 G_2019,19,27,1,1,1,0.05,5,3.7037037037037037
5_Marini_UNIPD02 H_2019,15,21,1,5,1,0.05,5,23.80952380952381
5_Marini_UNIPD02 I_2019,16,35,1,0,1,0.05,5,0
5_Marini_UNIPD02 K_2019,16,31,1,1,1,0.05,5,3.225806451612903
5_Marini_UNIPD02 L_2019,13,20,1,5,1,0.05,5,25
5_Marini_UNIPD02 M_2019,26,35,2,6,1,0.05,5,17.142857142857142
5_Marini_UNIPD02 N_2019,17,20,1,2,1,0.05,5,10
5_Marini_UNIPD02 O_2019,19,31,1,2,1,0.05,5,6.451612903225806
5_Marini_UNIPD02 P_2019,15,24,1,1,1,0.05,5,4.166666666666667
5_Marini_UNIPD02 Q_2019,18,22,1,0,1,0.05,5,0
5_Marini_UNIPD02 S_2019,22,31,2,15,1,0.05,5,48.38709677419355
5_Marini_UNIPD02 T_2019,21,18,2,2,1,0.05,5,11.11111111111111
5_Marini_UNIPD02 U_2019,28,23,2,0,1,0.05,5,0
5_Marini_UNIPD02 V_2019,29,39,2,4,1,0.05,5,10.256410256410257
5_Marini_UNIPD02 W_2019,21,36,2,9,1,0.05,5,25
5_Marini_UNIPD02 X_2019,27,41,2,1,1,0.05,5,2.4390243902439024
5_Marini_UNIPD02 Y_2019,20,45,1,13,1,0.05,5,28.88888888888889
5_Marini_UNIPD02 Z_2019,15,27,1,3,1,0.05,5,11.11111111111111
6_Marini_UNIPD03 CD13_2020,13,25,1,6,1,0.05,5,24
6_Marini_UNIPD03 CD14_2020,18,30,1,1,1,0.05,5,3.3333333333333335
6_Marini_UNIPD03 CD15_2020,24,43,2,2,1,0.05,5,4.651162790697675
6_Marini_UNIPD03 CD16_2020,26,52,2,7,1,0.05,5,13.461538461538462
6_Marini_UNIPD03 CD17_2020,27,51,2,6,1,0.05,5,11.764705882352942
6_Marini_UNIPD03 CD20_2020,17,44,1,4,1,0.05,5,9.090909090909092
6_Marini_UNIPD03 CD22_2020,22,24,2,5,1,0.05,5,20.833333333333332
6_Marini_UNIPD03 CD23_2020,23,39,2,13,1,0.05,5,33.333333333333336
6_Marini_UNIPD03 CD26_2020,11,26,1,6,1,0.05,5,23.076923076923077
6_Marini_UNIPD03 CD27_2020,23,34,2,7,1,0.05,5,20.58823529411765
6_Marini_UNIPD03 CD28_2020,27,42,2,6,1,0.05,5,14.285714285714286
6_Marini_UNIPD03 CD29_2020,21,35,2,11,1,0.05,5,31.428571428571427
6_Marini_UNIPD03 CD2_2020,10,22,1,5,1,0.05,5,22.727272727272727
6_Marini_UNIPD03 CD34_2020,14,45,1,6,1,0.05,5,13.333333333333334
6_Marini_UNIPD03 D11_2020,13,28,1,2,1,0.05,5,7.142857142857143
6_Marini_UNIPD03 D17_2020,10,26,1,1,1,0.05,5,3.8461538461538463
6_Marini_UNIPD03 D21_2020,11,23,1,3,1,0.05,5,13.043478260869565
6_Marini_UNIPD03 D24_2020,17,33,1,1,1,0.05,5,3.0303030303030303
6_Marini_UNIPD03 D28_2020,19,32,1,2,1,0.05,5,6.25
6_Marini_UNIPD03 D29_2020,15,28,1,2,1,0.05,5,7.142857142857143
6_Marini_UNIPD03 D34_2020,13,37,1,3,1,0.05,5,8.108108108108109
6_Marini_UNIPD03 D35_2020,13,24,1,2,1,0.05,5,8.333333333333334
6_Marini_UNIPD03 D5_2020,17,30,1,0,1,0.05,5,0
6_Marini_UNIPD03 D8_2020,11,18,1,1,1,0.05,5,5.555555555555555
6_Marini_UNIPD03 E14_2020,19,34,1,9,1,0.05,5,26.470588235294116
6_Marini_UNIPD03 E19_2020,19,28,1,1,1,0.05,5,3.5714285714285716
6_Marini_UNIPD03 E25_2020,17,24,1,3,1,0.05,5,12.5
6_Marini_UNIPD03 E26_2020,24,45,2,17,1,0.05,5,37.77777777777778
6_Marini_UNIPD03 E31_2020,13,22,1,2,1,0.05,5,9.090909090909092
6_Marini_UNIPD03 E32_2020,10,20,1,2,1,0.05,5,10
6_Marini_UNIPD03 E33_2020,13,40,1,1,1,0.05,5,2.5
6_Marini_UNIPD03 E35_2020,14,36,1,1,1,0.05,5,2.7777777777777777
6_Marini_UNIPD03 E36_2020,11,42,1,4,1,0.05,5,9.523809523809524
7_Scheper_Chize_10_Field_boundary_2015,37,22,2,3,1,0.05,5,13.636363636363637
7_Scheper_Chize_12_Field_boundary_2015,34,34,2,7,1,0.05,5,20.58823529411765
7_Scheper_Chize_14_Field_boundary_2015,35,38,2,3,1,0.05,5,7.894736842105263
7_Scheper_Chize_19_Field_boundary_2015,32,22,2,1,1,0.05,5,4.545454545454546
7_Scheper_Chize_1_Field_boundary_2015,25,22,2,0,1,0.05,5,0
7_Scheper_Chize_1_Grassland_2015,14,22,1,12,1,0.05,5,54.54545454545455
7_Scheper_Chize_25_Field_boundary_2015,31,27,2,4,1,0.05,5,14.814814814814815
7_Scheper_Chize_4_Field_boundary_2015,25,21,2,3,1,0.05,5,14.285714285714286
7_Scheper_Chize_5_Field_boundary_2015,32,21,2,6,1,0.05,5,28.571428571428573
7_Scheper_Chize_6_Field_boundary_2015,31,35,2,2,1,0.05,5,5.714285714285714
